type,question
破产清算.受理法院,找到破产清算事件的受理法院，包含各级解决社会矛盾的人民法院。
破产清算.公告时间,找到破产清算事件的公告时间，包含年、月、日、天、周、时、分、秒等。
破产清算.公司行业,找到破产清算事件的公司行业，包含农、林、牧、渔，采矿，制造，能源，建筑，交通运输、物流，信息、计算，批发零售，住宿餐饮，金融，房地产，租赁和商务服务，科学研究，公共设施，居民服务等。
破产清算.裁定时间,找到破产清算事件的裁定时间，包含年、月、日、天、周、时、分、秒等。
破产清算.公司名称,找到破产清算事件的公司名称，主要是以盈利为目的的商业组织，包含有限责任公司和股份有限公司。
重大安全事故.公告时间,找到重大安全事故事件的公告时间，包含年、月、日、天、周、时、分、秒等。
重大安全事故.损失金额,找到重大安全事故事件的损失金额，包含分、角、元、万、亿等费用单位或数量。
重大安全事故.其他影响,找到重大安全事故事件的其他影响，主要包含分、角、元、万、亿等费用单位或数量所描述的罚款金额。
重大安全事故.公司名称,找到重大安全事故事件的公司名称，主要是以盈利为目的的商业组织，包含有限责任公司和股份有限公司。
重大安全事故.伤亡人数,找到重大安全事故事件的伤亡人数，即受伤或死亡的人口总数，主要以名为单位。
股东减持.减持的股东,找到股东减持事件的减持的股东，包含人名、机构名和公司名等。
股东减持.减持开始日期,找到股东减持事件的减持开始日期，包含年、月、日、天、周、时、分、秒等。
股东减持.减持金额,找到股东减持事件的减持金额，包含分、角、元、万、亿等费用单位或数量。
股权质押.质押方,找到股权质押事件的质押方，包含人名、机构名和公司名等。
股权质押.质押结束日期,找到股权质押事件的质押结束日期，包含年、月、日、天、周、时、分、秒等。
股权质押.质押金额,找到股权质押事件的质押金额，包含分、角、元、万、亿等费用单位或数量。
股权质押.接收方,找到股权质押事件的接收方，包含人名、机构名和公司名等。
股权质押.质押开始日期,找到股权质押事件的质押开始日期，包含年、月、日、天、周、时、分、秒等。
股东增持.增持开始日期,找到股东增持事件的增持开始日期，包含年、月、日、天、周、时、分、秒等。
股东增持.增持的股东,找到股东增持事件的增持的股东，包含人名、机构名和公司名等。
股东增持.增持金额,找到股东增持事件的增持金额，包含分、角、元、万、亿等费用单位或数量。
股权冻结.被冻结股东,找到股权冻结事件的被冻结股东，包含人名、机构名和公司名等。
股权冻结.冻结结束日期,找到股权冻结事件的冻结结束日期，包含年、月、日、天、周、时、分、秒等。
股权冻结.冻结金额,找到股权冻结事件的冻结金额，包含分、角、元、万、亿等费用单位或数量。
股权冻结.冻结开始日期,找到股权冻结事件的冻结开始日期，包含年、月、日、天、周、时、分、秒等。
高层死亡.高层人员,找到高层死亡事件的高层人员，包含姓名和昵称等，主要的姓包含王、张、刘、王、周等。
高层死亡.死亡/失联时间,找到高层死亡事件的死亡或者失联时间，包含年、月、日、天、周、时、分、秒等。
高层死亡.高层职务,找到高层死亡事件的高层职务，包含经理、副经理、财务负责人、董事等。
高层死亡.公司名称,找到高层死亡事件的公司名称，主要是以盈利为目的的商业组织，包含有限责任公司和股份有限公司。
高层死亡.死亡年龄,找到高层死亡事件的死亡年龄，即以数字为计量且以岁为单位的实体。
重大资产损失.公司名称,找到重大资产损失事件的公司名称，主要是以盈利为目的的商业组织，包含有限责任公司和股份有限公司。
重大资产损失.其他损失,找到重大资产损失事件的其他损失，包含分、角、元、万、亿等费用单位或数量所描述的金额。
重大资产损失.损失金额,找到重大资产损失事件的损失金额，包含分、角、元、万、亿等费用单位或数量。
重大资产损失.公告时间,找到重大资产损失事件的公告时间，包含年、月、日、天、周、时、分、秒等。
重大对外赔付.公司名称,找到重大对外赔付事件的公司名称，主要是以盈利为目的的商业组织，包含有限责任公司和股份有限公司。
重大对外赔付.赔付对象,找到重大对外赔付事件的赔付对象，包含人名、机构名和公司名等。
重大对外赔付.赔付金额,找到重大对外赔付事件的赔付金额，包含分、角、元、万、亿等费用单位或数量。
重大对外赔付.公告时间,找到重大对外赔付事件的公告时间，包含年、月、日、天、周、时、分、秒等。